"Export for HP:0000118"
"Gene","Associated diseases"
"SLC6A17 (388662)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:616269)"
"INPPL1 (3636)","OPSISMODYSPLASIA (OMIM:258480)"
"INSL3 (3640)","CRYPTORCHIDISM, UNILATERAL OR BILATERAL (OMIM:219050)"
"INSR (3643)","INSULIN-RESISTANCE SYNDROME TYPE A (OMIM:610549), HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL,... (OMIM:609968), DONOHUE SYNDROME (OMIM:246200), PINEAL HYPERPLASIA, INSULIN-RESISTANT DI... (OMIM:262190)"
"PDX1 (3651)","PANCREATIC AGENESIS, CONGENITAL (OMIM:260370), MATURITY-ONSET DIABETES OF THE YOUNG, TY... (OMIM:606392)"
"ITGA6 (3655)","EPIDERMOLYSIS BULLOSA JUNCTIONALIS WITH ... (OMIM:226730)"
"SLCO1B3 (28234)","HYPERBILIRUBINEMIA, ROTOR TYPE (OMIM:237450)"
"IRF1 (3659)","GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980)"
"TUBB2B (347733)","POLYMICROGYRIA, SYMMETRIC OR ASYMMETRIC (OMIM:610031)"
"IRF6 (3664)","VAN DER WOUDE SYNDROME (OMIM:119300), OROFACIAL CLEFT 6 (OMIM:608864), POPLITEAL PTERYGIUM SYNDROME (OMIM:119500)"
"IRF7 (3665)","IMMUNODEFICIENCY 39 (OMIM:616345)"
"ITGA2 (3673)","BLEEDING DISORDER, PLATELET-TYPE, 9 (OMIM:614200)"
"ITGA2B (3674)","GLANZMANN THROMBASTHENIA, AUTOSOMAL DOMI... (OMIM:187800), GLANZMANN THROMBASTHENIA (OMIM:273800)"
"ITGA3 (3675)","INTERSTITIAL LUNG DISEASE, NEPHROTIC SYN... (OMIM:614748)"
"DFNA31 (347737)","DEAFNESS, AUTOSOMAL DOMINANT 31 (OMIM:608645)"
"ITGA7 (3679)","MUSCULAR DYSTROPHY, CONGENITAL, DUE TO I... (OMIM:613204)"
"ITGAM (3684)","SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBI... (OMIM:609939)"
"ITGB2 (3689)","LEUKOCYTE ADHESION DEFICIENCY, TYPE I (OMIM:116920)"
"NPCA1 (257641)","NASOPHARYNGEAL CARCINOMA (OMIM:607107)"
"ITGB3 (3690)","GLANZMANN THROMBASTHENIA, AUTOSOMAL DOMI... (OMIM:187800), GLANZMANN THROMBASTHENIA (OMIM:273800), INTEGRIN, BETA-3 (OMIM:173470)"
"ITGB4 (3691)","EPIDERMOLYSIS BULLOSA JUNCTIONALIS WITH ... (OMIM:226730), EPIDERMOLYSIS BULLOSA SIMPLEX, WEBER-COC... (OMIM:131800), EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-H... (OMIM:226650)"
"ITGB6 (3694)","AMELOGENESIS IMPERFECTA, TYPE IH (OMIM:616221)"
"MGR1 (192115)","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIB... (OMIM:157300)"
"ITK (3702)","LYMPHOPROLIFERATIVE SYNDROME 1 (OMIM:613011)"
"STT3A (3703)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:615596)"
"ITPR1 (3708)","SPINOCEREBELLAR ATAXIA 15 (OMIM:606658), SPINOCEREBELLAR ATAXIA 29 (OMIM:117360)"
"ITPR2 (3709)","ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT ... (OMIM:106190)"
"IVD (3712)","ISOVALERIC ACIDEMIA (OMIM:243500)"
"JAK2 (3717)","POLYCYTHEMIA VERA (OMIM:263300), MYELOFIBROSISMYELOFIBROSIS WITH MYELOID ... (OMIM:254450), LEUKEMIA, ACUTE MYELOID (OMIM:601626), THROMBOCYTHEMIA 3 (OMIM:614521), ERYTHROCYTOSIS, FAMILIAL, 1 (OMIM:133100)"
"JAK3 (3718)","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSO... (OMIM:600802)"
"RLS1 (192142)","RESTLESS LEGS SYNDROME, SUSCEPTIBILITY T... (OMIM:102300)"
"JUP (3728)","NAXOS DISEASE (OMIM:601214), ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:611528)"
"ANOS1 (3730)","HYPOGONADOTROPIC HYPOGONADISM 1 WITH OR ... (OMIM:308700)"
"COA6 (388753)","CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE... (OMIM:616501)"
"KARS (3735)","CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE I... (OMIM:613641), DEAFNESS, AUTOSOMAL RECESSIVE 89 (OMIM:613916)"
"KCNA1 (3736)","EPISODIC ATAXIA, TYPE 1 (OMIM:160120)"
"KCNA2 (3737)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616366)"
"ANTXR2 (118429)","FIBROMATOSIS, JUVENILE HYALINE (OMIM:228600)"
"KCNA5 (3741)","ATRIAL FIBRILLATION, FAMILIAL, 7 (OMIM:612240)"
"KCNB1 (3745)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616056)"
"KCNC1 (3746)","EPILEPSY, PROGRESSIVE MYOCLONIC 7 (OMIM:616187)"
"KCNC3 (3748)","SPINOCEREBELLAR ATAXIA 13 (OMIM:605259)"
"KCND3 (3752)","BRUGADA SYNDROME 9 (OMIM:616399), SPINOCEREBELLAR ATAXIA 19 (OMIM:607346)"
"KCNE1 (3753)","LONG QT SYNDROME 5 (OMIM:613695), JERVELL AND LANGE-NIELSEN SYNDROME 2 (OMIM:612347)"
"KCNH1 (3756)","ZIMMERMANN-LABAND SYNDROME 1 (OMIM:135500), TEMPLE-BARAITSER SYNDROME (OMIM:611816)"
"KCNH2 (3757)","SHORT QT SYNDROME 1 (OMIM:609620), LONG QT SYNDROME 2 (OMIM:613688)"
"KCNJ1 (3758)","BARTTER SYNDROME, ANTENATAL, TYPE 2 (OMIM:241200)"
"KCNJ2 (3759)","ATRIAL FIBRILLATION, FAMILIAL, 9 (OMIM:613980), ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARA... (OMIM:170390), SHORT QT SYNDROME 3 (OMIM:609622)"
"KCNJ5 (3762)","HYPERALDOSTERONISM, FAMILIAL, TYPE III (OMIM:613677), LONG QT SYNDROME 13 (OMIM:613485)"
"KCNJ6 (3763)","KEPPEN-LUBINSKY SYNDROME (OMIM:614098)"
"KCNJ10 (3766)","ENLARGED VESTIBULAR AQUEDUCT (OMIM:600791), SEIZURES, SENSORINEURAL DEAFNESS, ATAXIA... (OMIM:612780)"
"KCNJ11 (3767)","DIABETES MELLITUS, TRANSIENT NEONATAL, 3 (OMIM:610582), DIABETES MELLITUS, PERMANENT NEONATAL (OMIM:606176), MATURITY-ONSET DIABETES OF THE YOUNG, TY... (OMIM:616329), HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL,... (OMIM:601820)"
"KCNJ13 (3769)","LEBER CONGENITAL AMAUROSIS 16 (OMIM:614186), VITREORETINAL DEGENERATION, SNOWFLAKE TY... (OMIM:193230)"
"KCNK3 (3777)","PULMONARY HYPERTENSION, PRIMARY, 4 (OMIM:615344)"
"KCNMA1 (3778)","GENERALIZED EPILEPSY AND PAROXYSMAL DYSK... (OMIM:609446)"
"KCNQ1 (3784)","SHORT QT SYNDROME 2 (OMIM:609621), JERVELL AND LANGE-NIELSEN SYNDROME (OMIM:220400), ATRIAL FIBRILLATION, FAMILIAL, 3 (OMIM:607554), LONG QT SYNDROME 1 (OMIM:192500)"
"KCNQ2 (3785)","SEIZURES, BENIGN FAMILIAL NEONATAL, 1 (OMIM:121200), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:613720)"
"KCNQ3 (3786)","EPILEPSY, BENIGN NEONATAL, 2 (OMIM:121201)"
"KDR (3791)","HEMANGIOMA, CAPILLARY INFANTILE (OMIM:602089)"
"KIF2A (3796)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615411)"
"KIF5A (3798)","SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINAN... (OMIM:604187)"
"KIF5C (3800)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:615282)"
"KISS1 (3814)","HYPOGONADOTROPIC HYPOGONADISM 13 WITH OR... (OMIM:614842)"
"KIT (3815)","PIEBALD TRAIT (OMIM:172800), TESTICULAR TUMORSTESTICULAR GERM CELL TU... (OMIM:273300), LEUKEMIA, ACUTE MYELOID (OMIM:601626), GASTROINTESTINAL STROMAL TUMOR (OMIM:606764), MAST CELL DISEASE (OMIM:154800)"
"KLKB1 (3818)","PREKALLIKREIN DEFICIENCY (OMIM:612423)"
"KIF11 (3832)","MICROCEPHALY WITH OR WITHOUT CHORIORETIN... (OMIM:152950)"
"KIF22 (3835)","SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JO... (OMIM:603546)"
"KRAS (3845)","BREAST CANCER (OMIM:114480), BLADDER CANCER (OMIM:109800), CARDIOFACIOCUTANEOUS SYNDROME 2 (OMIM:615278), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980), PANCREATIC CANCER (OMIM:260350), NOONAN SYNDROME 3 (OMIM:609942), GASTRIC CANCER, HEREDITARY DIFFUSE (OMIM:137215), SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME (OMIM:163200)"
"KRT1 (3848)","PALMOPLANTAR KERATODERMA, NONEPIDERMOLYT... (OMIM:600962), ICHTHYOSIS HYSTRIX, CURTH-MACKLIN TYPE (OMIM:146590), EPIDERMOLYTIC HYPERKERATOSIS (OMIM:113800), PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC (OMIM:144200), ICHTHYOSIS, CYCLIC, WITH EPIDERMOLYTIC H... (OMIM:607602), KERATOSIS PALMOPLANTARIS STRIATA III (OMIM:607654)"
"KRT2 (3849)","ICHTHYOSIS, BULLOUS TYPE (OMIM:146800)"
"LCA5 (167691)","LEBER CONGENITAL AMAUROSIS 5 (OMIM:604537)"
"KRT3 (3850)","CORNEAL DYSTROPHY, JUVENILE EPITHELIAL, ... (OMIM:122100)"
"KRT4 (3851)","WHITE SPONGE NEVUS OF CANNON (OMIM:193900)"
"KRT5 (3852)","DOWLING-DEGOS DISEASE (OMIM:179850), EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL... (OMIM:601001), EPIDERMOLYSIS BULLOSA SIMPLEX WITH CIRCI... (OMIM:609352), EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZ... (OMIM:131900), EPIDERMOLYSIS BULLOSA HERPETIFORMIS, DOW... (OMIM:131760), EPIDERMOLYSIS BULLOSA SIMPLEX WITH MOTTL... (OMIM:131960), EPIDERMOLYSIS BULLOSA SIMPLEX, WEBER-COC... (OMIM:131800)"
"KRT6A (3853)","PACHYONYCHIA CONGENITA 3 (OMIM:615726)"
"KRT6B (3854)","PACHYONYCHIA CONGENITA 4 (OMIM:615728)"
"KRT8 (3856)","CIRRHOSIS, FAMILIALCIRRHOSIS, FAMILIAL, ... (OMIM:215600)"
"KRT9 (3857)","PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC (OMIM:144200)"
"KRT10 (3858)","EPIDERMOLYTIC HYPERKERATOSIS (OMIM:113800), ICHTHYOSIS, CYCLIC, WITH EPIDERMOLYTIC H... (OMIM:607602), ERYTHRODERMA, ICHTHYOSIFORM, CONGENITAL ... (OMIM:609165)"
"KRT12 (3859)","CORNEAL DYSTROPHY, JUVENILE EPITHELIAL, ... (OMIM:122100)"
"KRT13 (3860)","WHITE SPONGE NEVUS 2 (OMIM:615785)"
"KRT14 (3861)","EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL... (OMIM:601001), EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZ... (OMIM:131900), EPIDERMOLYSIS BULLOSA HERPETIFORMIS, DOW... (OMIM:131760), NAEGELI SYNDROME (OMIM:161000), EPIDERMOLYSIS BULLOSA SIMPLEX, WEBER-COC... (OMIM:131800), DERMATOPATHIA PIGMENTOSA RETICULARIS (OMIM:125595)"
"KRT16 (3868)","PACHYONYCHIA CONGENITA, TYPE 1 (OMIM:167200), PALMOPLANTAR KERATODERMA, NONEPIDERMOLYT... (OMIM:613000)"
"DYT13 (93983)","DYSTONIA 13, TORSION (OMIM:607671)"
"KRT17 (3872)","PACHYONYCHIA CONGENITA, TYPE 2 (OMIM:167210), STEATOCYSTOMA MULTIPLEX (OMIM:184500)"
"FOXP2 (93986)","SPEECH-LANGUAGE DISORDER 1 (OMIM:602081)"
"KRT18 (3875)","CIRRHOSIS, FAMILIALCIRRHOSIS, FAMILIAL, ... (OMIM:215600)"
"KRT81 (3887)","MONILETHRIX (OMIM:158000)"
"KRT83 (3889)","MONILETHRIX (OMIM:158000)"
"PDB4 (94003)","PAGET DISEASE OF BONE 4 (OMIM:606263)"
"KRT85 (3891)","ECTODERMAL DYSPLASIA 4, HAIR/NAIL TYPE (OMIM:602032)"
"KRT86 (3892)","MONILETHRIX (OMIM:158000)"
"KWE (3896)","KERATOLYTIC WINTER ERYTHEMA (OMIM:148370)"
"SCA18 (94008)","SPINOCEREBELLAR ATAXIA 18 (OMIM:607458)"
"L1CAM (3897)","MASA SYNDROME (OMIM:303350), HYDROCEPHALUS DUE TO CONGENITAL STENOSIS... (OMIM:307000), CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-... (OMIM:304100)"
"TRICY1 (94014)","TRICHILEMMAL CYST 1 (OMIM:609649)"
"LAMA2 (3908)","MUSCULAR DYSTROPHY, CONGENITAL MEROSIN-D... (OMIM:607855)"
"LAMA3 (3909)","EPIDERMOLYSIS BULLOSA, JUNCTIONAL, HERLI... (OMIM:226700), LARYNGOONYCHOCUTANEOUS SYNDROME (OMIM:245660), EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-H... (OMIM:226650)"
"LAMA4 (3910)","CARDIOMYOPATHY, DILATED, 1JJ (OMIM:615235)"
"LAMB1 (3912)","LISSENCEPHALY 5 (OMIM:615191)"
"B3GALT6 (126792)","SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JO... (OMIM:271640), EHLERS-DANLOS SYNDROME, PROGEROID TYPE, ... (OMIM:615349)"
"LAMB2 (3913)","NEPHROTIC SYNDROME, TYPE 5, WITH OR WITH... (OMIM:614199), PIERSON SYNDROME (OMIM:609049)"
"LAMB3 (3914)","AMELOGENESIS IMPERFECTA, TYPE IA (OMIM:104530), EPIDERMOLYSIS BULLOSA, JUNCTIONAL, HERLI... (OMIM:226700), EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-H... (OMIM:226650)"
"C2ORF71 (388939)","RETINITIS PIGMENTOSA 54 (OMIM:613428)"
"LAMC2 (3918)","EPIDERMOLYSIS BULLOSA, JUNCTIONAL, HERLI... (OMIM:226700), EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-H... (OMIM:226650)"
"LAMP2 (3920)","DANON DISEASE (OMIM:300257)"
"RPSA (3921)","ASPLENIA, ISOLATED CONGENITAL (OMIM:271400)"
"LBR (3930)","REYNOLDS SYNDROME (OMIM:613471), PELGER-HUET ANOMALY (OMIM:169400), GREENBERG DYSPLASIA (OMIM:215140)"
"LCAT (3931)","LECITHIN:CHOLESTEROL ACYLTRANSFERASE DEF... (OMIM:245900), FISH-EYE DISEASE (OMIM:136120)"
"LCK (3932)","IMMUNODEFICIENCY 22 (OMIM:615758)"
"LCT (3938)","LACTASE DEFICIENCY, CONGENITAL (OMIM:223000)"
"LDHA (3939)","GLYCOGEN STORAGE DISEASE XI (OMIM:612933)"
"BOLA3 (388962)","MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYND... (OMIM:614299)"
"LDHB (3945)","LACTATE DEHYDROGENASE B DEFICIENCY (OMIM:614128)"
"LDLR (3949)","HYPERCHOLESTEROLEMIA, FAMILIAL (OMIM:143890)"
"LEP (3952)","LEPTIN DEFICIENCY OR DYSFUNCTION (OMIM:614962)"
"CCDC39 (339829)","CILIARY DYSKINESIA, PRIMARY, 14 (OMIM:613807)"
"LEPR (3953)","LEPTIN RECEPTOR DEFICIENCY (OMIM:614963)"
"LFNG (3955)","SPONDYLOCOSTAL DYSOSTOSIS 3, AUTOSOMAL R... (OMIM:609813)"
"PIKFYVE (200576)","CORNEAL FLECK DYSTROPHY (OMIM:121850)"
"LHB (3972)","LUTEINIZING HORMONE, BETA POLYPEPTIDE (OMIM:152780), HYPOGONADOTROPIC HYPOGONADISM 23 WITHOUT... (OMIM:228300)"
"LHCGR (3973)","HYPERGONADOTROPIC HYPOGONADISM (OMIM:238320), PRECOCIOUS PUBERTY, MALE-LIMITED (OMIM:176410)"
"LIFR (3977)","STUVE-WIEDEMANN SYNDROME (OMIM:601559)"
"LIG4 (3981)","LIG4 SYNDROME (OMIM:606593)"
"LIM2 (3982)","CATARACT 19 (OMIM:615277)"
"LIPA (3988)","LYSOSOMAL ACID LIPASE DEFICIENCY (OMIM:278000)"
"LIPB (3989)","LIPASE B, LYSOSOMAL ACID (OMIM:247980)"
"LIPC (3990)","HEPATIC LIPASE DEFICIENCY (OMIM:614025)"
"LIPE (3991)","LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 6 (OMIM:615980)"
"LMAN1 (3998)","FACTOR V AND FACTOR VIII, COMBINED DEFIC... (OMIM:227300)"
"LMNA (4000)","MUSCULAR DYSTROPHY, CONGENITAL, LMNA-REL... (OMIM:613205), LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2 (OMIM:151660), HUTCHINSON-GILFORD PROGERIA SYNDROME (OMIM:176670), MANDIBULOACRAL DYSPLASIA WITH TYPE A LIP... (OMIM:248370), CARDIOMYOPATHY, DILATED, 1A (OMIM:115200), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:605588), EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUT... (OMIM:181350), MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B (OMIM:159001), CARDIOMYOPATHY, DILATED, WITH HYPERGONAD... (OMIM:212112), HEART-HAND SYNDROME, SLOVENIAN TYPE (OMIM:610140), RESTRICTIVE DERMOPATHY, LETHAL (OMIM:275210)"
"LMNB1 (4001)","LEUKODYSTROPHY, DEMYELINATING, ADULT-ONS... (OMIM:169500)"
"LMX1B (4010)","NAIL-PATELLA SYNDROME (OMIM:161200)"
"LOR (4014)","VOHWINKEL SYNDROME, VARIANT FORM (OMIM:604117)"
"LPA (4018)","APOLIPOPROTEIN(A) (OMIM:152200)"
"ITS (282551)","INSULINOMA TUMOR SUPPRESSOR GENE LOCUS (OMIM:606960)"
"LPL (4023)","HYPERLIPIDEMIA, FAMILIAL COMBINED (OMIM:144250), HYPERLIPOPROTEINEMIA, TYPE I (OMIM:238600)"
"RP1L1 (94137)","OCCULT MACULAR DYSTROPHY (OMIM:613587)"
"LPP (4026)","LEUKEMIA, ACUTE MYELOID (OMIM:601626)"
"AUTS8 (282553)","AUTISM, SUSCEPTIBILITY TO, 8 (OMIM:607373)"
"LRP2 (4036)","DONNAI-BARROW SYNDROME (OMIM:222448)"
"HRM2 (100379199)","HAIR, CURLY (OMIM:139450)"
"ECT (100379198)","CENTRALOPATHIC EPILEPSY (OMIM:117100)"
"LRP4 (4038)","CENANI-LENZ SYNDACTYLY SYNDROME (OMIM:212780), SCLEROSTEOSIS 2 (OMIM:614305), MYASTHENIC SYNDROME, CONGENITAL, 17 (OMIM:616304)"
"LRP5 (4041)","ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINA... (OMIM:144750), VAN BUCHEM DISEASE, TYPE 2 (OMIM:607636), OSTEOPOROSIS-PSEUDOGLIOMA SYNDROME (OMIM:259770), OSTEOPETROSIS, AUTOSOMAL DOMINANT 1 (OMIM:607634), EXUDATIVE VITREORETINOPATHY 4 (OMIM:601813)"
"LRPAP1 (4043)","MYOPIA 23, AUTOSOMAL RECESSIVE (OMIM:615431)"
"LSS (4047)","CATARACT 44 (OMIM:616509)"
"LTBP2 (4053)","GLAUCOMA 3, PRIMARY CONGENITAL, D (OMIM:613086), MICROSPHEROPHAKIA AND/OR MEGALOCORNEA, W... (OMIM:251750), WEILL-MARCHESANI SYNDROME 3 (OMIM:614819)"
"LTBP3 (4054)","DENTAL ANOMALIES AND SHORT STATURE (OMIM:601216)"
"LTC4S (4056)","LEUKOTRIENE C4 SYNTHASE DEFICIENCY (OMIM:614037)"
"LYL1 (4066)","LEUKEMIA, LYMPHOID, 1 (OMIM:151440)"
"SH2D1A (4068)","LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, ... (OMIM:308240)"
"LYZ (4069)","AMYLOIDOSIS, FAMILIAL VISCERAL (OMIM:105200)"
"TACSTD2 (4070)","CORNEAL DYSTROPHY, GELATINOUS DROP-LIKE (OMIM:204870)"
"EPCAM (4072)","DIARRHEA 5, WITH TUFTING ENTEROPATHY, CO... (OMIM:613217), COLORECTAL CANCER, HEREDITARY NONPOLYPOS... (OMIM:613244)"
"DFNB65 (692219)","DEAFNESS, AUTOSOMAL RECESSIVE 65 (OMIM:610248)"
"OPA5 (692222)","OPTIC ATROPHY 5 (OMIM:610708)"
"DFNB62 (692220)","DEAFNESS, AUTOSOMAL RECESSIVE 62 (OMIM:610143)"
"SMAD3 (4088)","LOEYS-DIETZ SYNDROME, TYPE 3 (OMIM:613795)"
"SMAD4 (4089)","JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGI... (OMIM:175050), MYHRE SYNDROME (OMIM:139210), PANCREATIC CANCER (OMIM:260350), JUVENILE POLYPOSIS SYNDROME (OMIM:174900)"
"SMAD6 (4091)","AORTIC VALVE DISEASE 2 (OMIM:614823)"
"SMAD9 (4093)","PULMONARY HYPERTENSION, PRIMARY, 2 (OMIM:615342)"
"MAF (4094)","CATARACT 21, MULTIPLE TYPES (OMIM:610202), AYME-GRIPP SYNDROME (OMIM:601088)"
"MAFD1 (4095)","MAJOR AFFECTIVE DISORDER 1 (OMIM:125480)"
"MAFD2 (4096)","MAJOR AFFECTIVE DISORDER 2 (OMIM:309200)"
"NAT8L (339983)","N-ACETYLASPARTATE DEFICIENCY (OMIM:614063)"
"MAK (4117)","RETINITIS PIGMENTOSA 62 (OMIM:614181)"
"ZFYVE27 (118813)","SPASTIC PARAPLEGIA 33, AUTOSOMAL DOMINAN... (OMIM:610244)"
"MAN2B1 (4125)","MANNOSIDOSIS, ALPHA B, LYSOSOMAL (OMIM:248500)"
"MANBA (4126)","MANNOSIDOSIS, BETA A, LYSOSOMAL (OMIM:248510)"
"MAOA (4128)","BRUNNER SYNDROME (OMIM:300615), MONOAMINE OXIDASE A (OMIM:309850)"
"MAOB (4129)","MONOAMINE OXIDASE B (OMIM:309860)"
"MAPT (4137)","PICK DISEASE OF BRAIN (OMIM:172700), SUPRANUCLEAR PALSY, PROGRESSIVE, 1 (OMIM:601104), FRONTOTEMPORAL DEMENTIA (OMIM:600274), PARKINSON-DEMENTIA SYNDROMESUPRANUCLEAR ... (OMIM:260540)"
"MARS (4141)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:616280), INTERSTITIAL LUNG AND LIVER DISEASE (OMIM:615486)"
"MAT1A (4143)","METHIONINE ADENOSYLTRANSFERASE DEFICIENC... (OMIM:250850)"
"MATN3 (4148)","EPIPHYSEAL DYSPLASIA, MULTIPLE, 5 (OMIM:607078), SPONDYLOEPIMETAPHYSEAL DYSPLASIA, MATRIL... (OMIM:608728)"
"MBS1 (4156)","MOEBIUS SYNDROME (OMIM:157900)"
"SLC6A19 (340024)","HARTNUP DISORDER (OMIM:234500), GLYCINURIA WITH OR WITHOUT OXALATE UROLI... (OMIM:138500), IMINOGLYCINURIA (OMIM:242600)"
"MC2R (4158)","GLUCOCORTICOID DEFICIENCY 1 (OMIM:202200)"
"MC4R (4160)","OBESITY (OMIM:601665)"
"MCC (4163)","COLORECTAL CANCER (OMIM:114500)"
"CHST6 (4166)","MACULAR DYSTROPHY, CORNEAL, 1 (OMIM:217800)"
"MCDR1 (4167)","MACULAR DYSTROPHY, RETINAL, 1, NORTH CAR... (OMIM:136550)"
"MCF2 (4168)","MCF.2 CELL LINE-DERIVED TRANSFORMING SEQ... (OMIM:311030)"
"MCM4 (4173)","NATURAL KILLER CELL AND GLUCOCORTICOID D... (OMIM:609981)"
"MCM6 (4175)","LACTASE PERSISTENCE (OMIM:223100)"
"GRXCR1 (389207)","DEAFNESS, AUTOSOMAL RECESSIVE 25 (OMIM:613285)"
"TRAC (28755)","T-CELL RECEPTOR-ALPHA/BETA DEFICIENCY (OMIM:615387)"
"MCS (4183)","MILES-CARPENTER X-LINKED MENTAL RETARDAT... (OMIM:309605)"
"TMEM173 (340061)","STING-ASSOCIATED VASCULOPATHY, INFANTILE... (OMIM:615934)"
"SGO1 (151648)","CHRONIC ATRIAL AND INTESTINAL DYSRHYTHMI... (OMIM:616201)"
"MDRV (4195)","VACUOLAR NEUROMYOPATHY (OMIM:601846)"
"AUTS5 (94313)","AUTISM, SUSCEPTIBILITY TO, 5 (OMIM:606053)"
"MECP2 (4204)","LUBS X-LINKED MENTAL RETARDATION SYNDROM... (OMIM:300260), ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO ... (OMIM:300673), RETT SYNDROME (OMIM:312750), MENTAL RETARDATION, X-LINKED, SYNDROMIC ... (OMIM:300055)"
"MEF2C (4208)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:613443)"
"MEFV (4210)","FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL ... (OMIM:134610), FAMILIAL MEDITERRANEAN FEVER (OMIM:249100)"
"MAP3K1 (4214)","46,XY SEX REVERSAL 6 (OMIM:613762)"
"MDC1B (53368)","MUSCULAR DYSTROPHY, CONGENITAL, 1B (OMIM:604801)"
"HDL3 (53369)","HUNTINGTON DISEASE-LIKE 3 (OMIM:604802)"
"MEN1 (4221)","MULTIPLE ENDOCRINE NEOPLASIA, TYPE I (OMIM:131100)"
"MEOX1 (4222)","KLIPPEL-FEIL SYNDROME, AUTOSOMAL RECESSI... (OMIM:214300)"
"DFNA21 (192644)","DEAFNESS, AUTOSOMAL DOMINANT 21 (OMIM:607017)"
"MET (4233)","RENAL CELL CARCINOMA, PAPILLARY, 1 (OMIM:605074), HEPATOCELLULAR CARCINOMA (OMIM:114550)"
"GRXCR2 (643226)","DEAFNESS, AUTOSOMAL RECESSIVE 101 (OMIM:615837)"
"MGAT2 (4247)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:212066)"
"CLIC5 (53405)","DEAFNESS, AUTOSOMAL RECESSIVE 103 (OMIM:616042)"
"KITLG (4254)","HYPERPIGMENTATION WITH OR WITHOUT HYPOPI... (OMIM:145250)"
"MGP (4256)","KEUTEL SYNDROME (OMIM:245150)"
"CIITA (4261)","BARE LYMPHOCYTE SYNDROME, TYPE II (OMIM:209920)"
"MHS2 (4264)","MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY T... (OMIM:154275)"
"MHS4 (4265)","MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY T... (OMIM:600467)"
"LIPH (200879)","HYPOTRICHOSIS 7 (OMIM:604379)"
"MID1 (4281)","OPITZ GBBB SYNDROME, X-LINKED (OMIM:300000)"
"MIF (4282)","SYSTEMIC-ONSET JUVENILE IDIOPATHIC ARTHR... (OMIM:604302)"
"MIP (4284)","CATARACT 15, MULTIPLE TYPES (OMIM:615274)"
"ARL13B (200894)","JOUBERT SYNDROME 8 (OMIM:612291)"
"POC1B (282809)","CONE-ROD DYSTROPHY 20 (OMIM:615973)"
